lon,lat,name
-47.8989326,-22.005399,Labs IQSC
-47.8968271,-22.008704,Arcos Estranhos do EESC
-47.8987246,-22.002917,Rotatória Arq
-47.8956385,-22.0064629,Triunvirato da Matemática
-47.8947071,-22.0067321,Escadinha da Jaca
-47.8988778,-22.0046879,Estacionamento IQSC
-47.8991717,-22.0053694,Estacionamento EESC
-47.8980565,-22.0074466,Rua S.E.M
-47.8998963,-22.0032131,Ponte EESC
-47.8952241,-22.0062593,Saída da Mat
-47.8956009,-22.0070393,Saída Bloco 5
-47.8951825,-22.0076212,Saída Biblio
-47.8946804,-22.0073476,Cantina
-47.8952035,-22.0073065,Praça das Bandeiras
-47.8959614,-22.0078119,Alojamento A
-47.8970022,-22.0069167,CAASO
-47.8964458,-22.0070927,Biblioteca EESC - Oeste
-47.8956734,-22.0070728,Biblioteca EESC - Leste
-47.8964583,-22.0068728,Banco do Brasil
-47.896689,-22.007957,Livraria
-47.8980069,-22.0063555,Campinho
-47.8974222,-22.0059278,Cefer
-47.8964891,-22.0048933,Salão de Eventos
-47.8980244,-22.0047624,Centrinho
-47.897477,-22.0048912,Estacionamento Prefeitura
-47.8971712,-22.0044237,Prefeitura
-47.8950483,-22.0065288,Estacionamento ICMC
-47.8983281,-22.0079672,IFSC - Norte
-47.8969709,-22.0089768,Biblioteca IFSC
-47.8963452,-22.0113591,Observatório
-47.8990517,-22.0061466,Alojamento B - E
-47.8996419,-22.00261,Uspão
-47.8997386,-22.0045612,Matadouro
-47.8984268,-22.0053772,IQSC
-47.8983571,-22.0069936,Baja
-47.8985385,-22.0034681,IAU
-47.8939718,-22.0074571,Jardim Secreto

